1,Prefiero hacer un mapa que explicarle a alguien como tiene que llegar
2,Si estoy enojado(a) o contento (a) generalmente sé exactamente por qué
3,Sé tocar (o antes sabía tocar) un instrumento musical
4,Asocio la música con mis estados de ánimo
5,5 Puedo sumar o multiplicar mentalmente con mucha rapidez
6,Puedo ayudar a un amigo a manejar sus sentimientos porque yo lo pude hacer antes en relación a sentimientos parecidos
7,Me gusta trabajar con calculadoras y computadores
8,8 Aprendo rápido a bailar un ritmo nuevo
9,No me es difícil decir lo que pienso en el curso de una discusión o debate
10,"Disfruto de una buena charla, discurso o sermón"
11,"Siempre distingo el norte del sur, esté donde esté"
12,Me gusta reunir grupos de personas en una fiesta o en un evento especial
13,La vida me parece vacía sin música
14,Siempre entiendo los gráficos que vienen en las instrucciones de equipos o instrumentos
15,Me gusta hacer rompecabezas y entretenerme con juegos electrónicos
16,Me fue fácil aprender a andar en bicicleta. ( o patines)
17,Me enojo cuando oigo una discusión o una afirmación que parece ilógica
18,Soy capaz de convencer a otros que sigan mis planes
19,Tengo buen sentido de equilibrio y coordinación
20,Con frecuencia veo configuraciones y relaciones entre números con más rapidez y facilidad que otros.
21,Me gusta construir modelos ( o hacer esculturas)
22,Tengo agudeza para encontrar el significado de las palabras
23,Puedo mirar un objeto de una manera y con la misma facilidad verlo
24,Con frecuencia hago la conexión entre una pieza de música y algún evento de mi vida
25,Me gusta trabajar con números y figuras
26,Me gusta sentarme silenciosamente y reflexionar sobre mis sentimientos íntimos
27,Con sólo mirar la forma de construcciones y estructuras me siento a gusto
28,"Me gusta tararear, silbar y cantar en la ducha o cuando estoy sola"
29,Soy bueno(a) para el atletismo
30,Me gusta escribir cartas detalladas a mis amigos
31,Generalmente me doy cuenta de la expresión que tengo en la cara
32,Me doy cuenta de las expresiones en la cara de otras personas
33,"Me mantengo ""en contacto"" con mis estados de ánimo. No me cuesta identificarlos"
34,Me doy cuenta de los estados de ánimo de otros
35,Me doy cuenta bastante bien de lo que otros piensan de mí